Temperature	Concentration	Distance	Hamaker
4.11E+01	2.07E+01	5.34E-08	4.39E-01
4.11E+01	2.07E+01	5.93E-08	3.94E-01
4.11E+01	2.07E+01	6.58E-08	3.51E-01
4.11E+01	2.07E+01	7.31E-08	3.12E-01
4.11E+01	2.07E+01	8.11E-08	2.77E-01
4.11E+01	2.07E+01	9.01E-08	2.44E-01
4.11E+01	2.07E+01	1.00E-07	2.14E-01
4.11E+01	2.07E+01	1.11E-07	1.87E-01
4.11E+01	2.07E+01	1.23E-07	1.63E-01
4.11E+01	2.07E+01	1.37E-07	1.41E-01
4.11E+01	2.07E+01	1.52E-07	1.21E-01
4.11E+01	2.07E+01	1.69E-07	1.04E-01
4.11E+01	2.07E+01	1.87E-07	8.88E-02
4.11E+01	2.07E+01	2.08E-07	7.53E-02
4.11E+01	2.07E+01	2.31E-07	6.36E-02
4.11E+01	2.07E+01	2.57E-07	5.33E-02
4.11E+01	2.07E+01	2.85E-07	4.44E-02
4.11E+01	2.07E+01	3.16E-07	3.68E-02
4.11E+01	2.07E+01	3.51E-07	3.03E-02
4.11E+01	2.07E+01	3.90E-07	2.47E-02
4.11E+01	2.07E+01	4.33E-07	2.00E-02
4.11E+01	2.07E+01	4.81E-07	1.61E-02
4.11E+01	2.07E+01	5.34E-07	1.29E-02
4.11E+01	2.07E+01	5.93E-07	1.02E-02
4.11E+01	2.07E+01	6.58E-07	7.96E-03
4.11E+01	2.07E+01	7.31E-07	6.18E-03
4.11E+01	2.07E+01	8.11E-07	4.74E-03
4.11E+01	2.07E+01	9.01E-07	3.59E-03
4.11E+01	2.07E+01	1.00E-06	2.69E-03
4.11E+01	2.07E+01	1.11E-06	1.98E-03
4.11E+01	2.07E+01	1.23E-06	1.43E-03
4.11E+01	2.07E+01	1.37E-06	1.02E-03
4.11E+01	2.07E+01	1.52E-06	7.07E-04
4.11E+01	2.07E+01	1.69E-06	4.77E-04
4.11E+01	2.07E+01	1.87E-06	3.11E-04
4.11E+01	2.07E+01	2.08E-06	1.95E-04
4.11E+01	2.07E+01	2.31E-06	1.17E-04
4.11E+01	2.07E+01	2.57E-06	6.62E-05
4.11E+01	2.07E+01	2.85E-06	3.52E-05
4.11E+01	2.07E+01	3.16E-06	1.74E-05
4.11E+01	5.46E+01	1.00E-10	2.56E+00
4.11E+01	5.46E+01	1.11E-10	2.53E+00
4.11E+01	5.46E+01	1.23E-10	2.51E+00
4.11E+01	5.46E+01	1.37E-10	2.49E+00
4.11E+01	5.46E+01	1.52E-10	2.48E+00
4.11E+01	5.46E+01	1.69E-10	2.47E+00
4.11E+01	5.46E+01	1.87E-10	2.46E+00
4.11E+01	5.46E+01	2.08E-10	2.45E+00
4.11E+01	5.46E+01	2.31E-10	2.45E+00
4.11E+01	5.46E+01	2.57E-10	2.45E+00
4.11E+01	5.46E+01	2.85E-10	2.44E+00
4.11E+01	5.46E+01	3.16E-10	2.44E+00
4.11E+01	5.46E+01	3.51E-10	2.44E+00
4.11E+01	5.46E+01	3.90E-10	2.44E+00
4.11E+01	5.46E+01	4.33E-10	2.43E+00
4.11E+01	5.46E+01	4.81E-10	2.43E+00
4.11E+01	5.46E+01	5.34E-10	2.42E+00
4.11E+01	5.46E+01	5.93E-10	2.42E+00
4.11E+01	5.46E+01	6.58E-10	2.41E+00
4.11E+01	5.46E+01	7.31E-10	2.40E+00
4.11E+01	5.46E+01	8.11E-10	2.39E+00
4.11E+01	5.46E+01	9.01E-10	2.38E+00
4.11E+01	5.46E+01	1.00E-09	2.37E+00
4.11E+01	5.46E+01	1.11E-09	2.36E+00
4.11E+01	5.46E+01	1.23E-09	2.34E+00
4.11E+01	5.46E+01	1.37E-09	2.33E+00
4.11E+01	5.46E+01	1.52E-09	2.31E+00
4.11E+01	5.46E+01	1.69E-09	2.29E+00
4.11E+01	5.46E+01	1.87E-09	2.27E+00
4.11E+01	5.46E+01	2.08E-09	2.24E+00
4.11E+01	5.46E+01	2.31E-09	2.21E+00
4.11E+01	5.46E+01	2.57E-09	2.18E+00
4.11E+01	5.46E+01	2.85E-09	2.15E+00
4.11E+01	5.46E+01	3.16E-09	2.11E+00
4.11E+01	5.46E+01	3.51E-09	2.07E+00
4.11E+01	5.46E+01	3.90E-09	2.03E+00
4.11E+01	5.46E+01	4.33E-09	1.98E+00
4.11E+01	5.46E+01	4.81E-09	1.93E+00
4.11E+01	5.46E+01	5.34E-09	1.88E+00
4.11E+01	5.46E+01	5.93E-09	1.82E+00
4.11E+01	5.46E+01	6.58E-09	1.76E+00
4.11E+01	5.46E+01	7.31E-09	1.70E+00
4.11E+01	5.46E+01	8.11E-09	1.63E+00
4.11E+01	5.46E+01	9.01E-09	1.56E+00
4.11E+01	5.46E+01	1.00E-08	1.49E+00
4.11E+01	5.46E+01	1.11E-08	1.42E+00
4.11E+01	5.46E+01	1.23E-08	1.35E+00
4.11E+01	5.46E+01	1.37E-08	1.28E+00
4.11E+01	5.46E+01	1.52E-08	1.20E+00
4.11E+01	5.46E+01	1.69E-08	1.13E+00
4.11E+01	5.46E+01	1.87E-08	1.06E+00
4.11E+01	5.46E+01	2.08E-08	9.85E-01
4.11E+01	5.46E+01	2.31E-08	9.14E-01
4.11E+01	5.46E+01	2.57E-08	8.46E-01
4.11E+01	5.46E+01	2.85E-08	7.79E-01
4.11E+01	5.46E+01	3.16E-08	7.15E-01
4.11E+01	5.46E+01	3.51E-08	6.54E-01
4.11E+01	5.46E+01	3.90E-08	5.95E-01
4.11E+01	5.46E+01	4.33E-08	5.40E-01
4.11E+01	5.46E+01	4.81E-08	4.88E-01
4.11E+01	5.46E+01	5.34E-08	4.39E-01
4.11E+01	5.46E+01	5.93E-08	3.94E-01
4.11E+01	5.46E+01	6.58E-08	3.51E-01
4.11E+01	5.46E+01	7.31E-08	3.12E-01
4.11E+01	5.46E+01	8.11E-08	2.77E-01
4.11E+01	5.46E+01	9.01E-08	2.44E-01
4.11E+01	5.46E+01	1.00E-07	2.14E-01
4.11E+01	5.46E+01	1.11E-07	1.87E-01
4.11E+01	5.46E+01	1.23E-07	1.63E-01
4.11E+01	5.46E+01	1.37E-07	1.41E-01
4.11E+01	5.46E+01	1.52E-07	1.21E-01
4.11E+01	5.46E+01	1.69E-07	1.04E-01
4.11E+01	5.46E+01	1.87E-07	8.88E-02
4.11E+01	5.46E+01	2.08E-07	7.53E-02
4.11E+01	5.46E+01	2.31E-07	6.36E-02
4.11E+01	5.46E+01	2.57E-07	5.33E-02
4.11E+01	5.46E+01	2.85E-07	4.44E-02
4.11E+01	5.46E+01	3.16E-07	3.68E-02
4.11E+01	5.46E+01	3.51E-07	3.03E-02
4.11E+01	5.46E+01	3.90E-07	2.47E-02
4.11E+01	5.46E+01	4.33E-07	2.00E-02
4.11E+01	5.46E+01	4.81E-07	1.61E-02
4.11E+01	5.46E+01	5.34E-07	1.29E-02
4.11E+01	5.46E+01	5.93E-07	1.02E-02
4.11E+01	5.46E+01	6.58E-07	7.96E-03
4.11E+01	5.46E+01	7.31E-07	6.18E-03
4.11E+01	5.46E+01	8.11E-07	4.74E-03
4.11E+01	5.46E+01	9.01E-07	3.59E-03
4.11E+01	5.46E+01	1.00E-06	2.69E-03
4.11E+01	5.46E+01	1.11E-06	1.98E-03
4.11E+01	5.46E+01	1.23E-06	1.43E-03
4.11E+01	5.46E+01	1.37E-06	1.02E-03
4.11E+01	5.46E+01	1.52E-06	7.07E-04
4.11E+01	5.46E+01	1.69E-06	4.77E-04
4.11E+01	5.46E+01	1.87E-06	3.11E-04
4.11E+01	5.46E+01	2.08E-06	1.95E-04
4.11E+01	5.46E+01	2.31E-06	1.17E-04
4.11E+01	5.46E+01	2.57E-06	6.62E-05
4.11E+01	5.46E+01	2.85E-06	3.52E-05
4.11E+01	5.46E+01	3.16E-06	1.74E-05
4.11E+01	1.44E+02	1.00E-10	2.47E+00
4.11E+01	1.44E+02	1.11E-10	2.46E+00
4.11E+01	1.44E+02	1.23E-10	2.46E+00
4.11E+01	1.44E+02	1.37E-10	2.46E+00
4.11E+01	1.44E+02	1.52E-10	2.45E+00
4.11E+01	1.44E+02	1.69E-10	2.45E+00
4.11E+01	1.44E+02	1.87E-10	2.45E+00
4.11E+01	1.44E+02	2.08E-10	2.45E+00
4.11E+01	1.44E+02	2.31E-10	2.45E+00
4.11E+01	1.44E+02	2.57E-10	2.45E+00
4.11E+01	1.44E+02	2.85E-10	2.44E+00
4.11E+01	1.44E+02	3.16E-10	2.44E+00
4.11E+01	1.44E+02	3.51E-10	2.44E+00
4.11E+01	1.44E+02	3.90E-10	2.44E+00
4.11E+01	1.44E+02	4.33E-10	2.43E+00
4.11E+01	1.44E+02	4.81E-10	2.43E+00
4.11E+01	1.44E+02	5.34E-10	2.42E+00
4.11E+01	1.44E+02	5.93E-10	2.42E+00
4.11E+01	1.44E+02	6.58E-10	2.41E+00
4.11E+01	1.44E+02	7.31E-10	2.40E+00
4.11E+01	1.44E+02	8.11E-10	2.39E+00
4.11E+01	1.44E+02	9.01E-10	2.38E+00
4.11E+01	1.44E+02	1.00E-09	2.37E+00
4.11E+01	1.44E+02	1.11E-09	2.36E+00
4.11E+01	1.44E+02	1.23E-09	2.34E+00
4.11E+01	1.44E+02	1.37E-09	2.33E+00
4.11E+01	1.44E+02	1.52E-09	2.31E+00
4.11E+01	1.44E+02	1.69E-09	2.29E+00
4.11E+01	1.44E+02	1.87E-09	2.27E+00
4.11E+01	1.44E+02	2.08E-09	2.24E+00
4.11E+01	1.44E+02	2.31E-09	2.21E+00
4.11E+01	1.44E+02	2.57E-09	2.18E+00
4.11E+01	1.44E+02	2.85E-09	2.15E+00
4.11E+01	1.44E+02	3.16E-09	2.11E+00
4.11E+01	1.44E+02	3.51E-09	2.07E+00
4.11E+01	1.44E+02	3.90E-09	2.03E+00
4.11E+01	1.44E+02	4.33E-09	1.98E+00
4.11E+01	1.44E+02	4.81E-09	1.93E+00
4.11E+01	1.44E+02	5.34E-09	1.88E+00
4.11E+01	1.44E+02	5.93E-09	1.82E+00
4.11E+01	1.44E+02	6.58E-09	1.76E+00
4.11E+01	1.44E+02	7.31E-09	1.70E+00
4.11E+01	1.44E+02	8.11E-09	1.63E+00
4.11E+01	1.44E+02	9.01E-09	1.56E+00
4.11E+01	1.44E+02	1.00E-08	1.49E+00
4.11E+01	1.44E+02	1.11E-08	1.42E+00
4.11E+01	1.44E+02	1.23E-08	1.35E+00
4.11E+01	1.44E+02	1.37E-08	1.28E+00
4.11E+01	1.44E+02	1.52E-08	1.20E+00
4.11E+01	1.44E+02	1.69E-08	1.13E+00
4.11E+01	1.44E+02	1.87E-08	1.06E+00
4.11E+01	1.44E+02	2.08E-08	9.85E-01
4.11E+01	1.44E+02	2.31E-08	9.14E-01
4.11E+01	1.44E+02	2.57E-08	8.46E-01
4.11E+01	1.44E+02	2.85E-08	7.79E-01
4.11E+01	1.44E+02	3.16E-08	7.15E-01
4.11E+01	1.44E+02	3.51E-08	6.54E-01
4.11E+01	1.44E+02	3.90E-08	5.95E-01
4.11E+01	1.44E+02	4.33E-08	5.40E-01
4.11E+01	1.44E+02	4.81E-08	4.88E-01
4.11E+01	1.44E+02	5.34E-08	4.39E-01
4.11E+01	1.44E+02	5.93E-08	3.94E-01
4.11E+01	1.44E+02	6.58E-08	3.51E-01
4.11E+01	1.44E+02	7.31E-08	3.12E-01
4.11E+01	1.44E+02	8.11E-08	2.77E-01
4.11E+01	1.44E+02	9.01E-08	2.44E-01
4.11E+01	1.44E+02	1.00E-07	2.14E-01
4.11E+01	1.44E+02	1.11E-07	1.87E-01
4.11E+01	1.44E+02	1.23E-07	1.63E-01
4.11E+01	1.44E+02	1.37E-07	1.41E-01
4.11E+01	1.44E+02	1.52E-07	1.21E-01
4.11E+01	1.44E+02	1.69E-07	1.04E-01
4.11E+01	1.44E+02	1.87E-07	8.88E-02
4.11E+01	1.44E+02	2.08E-07	7.53E-02
4.11E+01	1.44E+02	2.31E-07	6.36E-02
4.11E+01	1.44E+02	2.57E-07	5.33E-02
4.11E+01	1.44E+02	2.85E-07	4.44E-02
4.11E+01	1.44E+02	3.16E-07	3.68E-02
4.11E+01	1.44E+02	3.51E-07	3.03E-02
4.11E+01	1.44E+02	3.90E-07	2.47E-02
4.11E+01	1.44E+02	4.33E-07	2.00E-02
4.11E+01	1.44E+02	4.81E-07	1.61E-02
4.11E+01	1.44E+02	5.34E-07	1.29E-02
4.11E+01	1.44E+02	5.93E-07	1.02E-02
4.11E+01	1.44E+02	6.58E-07	7.96E-03
4.11E+01	1.44E+02	7.31E-07	6.18E-03
4.11E+01	1.44E+02	8.11E-07	4.74E-03
4.11E+01	1.44E+02	9.01E-07	3.59E-03
4.11E+01	1.44E+02	1.00E-06	2.69E-03
4.11E+01	1.44E+02	1.11E-06	1.98E-03
4.11E+01	1.44E+02	1.23E-06	1.43E-03
4.11E+01	1.44E+02	1.37E-06	1.02E-03
4.11E+01	1.44E+02	1.52E-06	7.07E-04
4.11E+01	1.44E+02	1.69E-06	4.77E-04
4.11E+01	1.44E+02	1.87E-06	3.11E-04
4.11E+01	1.44E+02	2.08E-06	1.95E-04
4.11E+01	1.44E+02	2.31E-06	1.17E-04
4.11E+01	1.44E+02	2.57E-06	6.62E-05
4.11E+01	1.44E+02	2.85E-06	3.52E-05
4.11E+01	1.44E+02	3.16E-06	1.74E-05
4.11E+01	3.79E+02	1.00E-10	2.46E+00
4.11E+01	3.79E+02	1.11E-10	2.45E+00
4.11E+01	3.79E+02	1.23E-10	2.45E+00
4.11E+01	3.79E+02	1.37E-10	2.45E+00
4.11E+01	3.79E+02	1.52E-10	2.45E+00
4.11E+01	3.79E+02	1.69E-10	2.45E+00
4.11E+01	3.79E+02	1.87E-10	2.45E+00
4.11E+01	3.79E+02	2.08E-10	2.45E+00
4.11E+01	3.79E+02	2.31E-10	2.45E+00
4.11E+01	3.79E+02	2.57E-10	2.45E+00
4.11E+01	3.79E+02	2.85E-10	2.44E+00
4.11E+01	3.79E+02	3.16E-10	2.44E+00
4.11E+01	3.79E+02	3.51E-10	2.44E+00
4.11E+01	3.79E+02	3.90E-10	2.44E+00
4.11E+01	3.79E+02	4.33E-10	2.43E+00
4.11E+01	3.79E+02	4.81E-10	2.43E+00
4.11E+01	3.79E+02	5.34E-10	2.42E+00
4.11E+01	3.79E+02	5.93E-10	2.42E+00
4.11E+01	3.79E+02	6.58E-10	2.41E+00
4.11E+01	3.79E+02	7.31E-10	2.40E+00
4.11E+01	3.79E+02	8.11E-10	2.39E+00
4.11E+01	3.79E+02	9.01E-10	2.38E+00
4.11E+01	3.79E+02	1.00E-09	2.37E+00
4.11E+01	3.79E+02	1.11E-09	2.36E+00
4.11E+01	3.79E+02	1.23E-09	2.34E+00
4.11E+01	3.79E+02	1.37E-09	2.33E+00
4.11E+01	3.79E+02	1.52E-09	2.31E+00
4.11E+01	3.79E+02	1.69E-09	2.29E+00
4.11E+01	3.79E+02	1.87E-09	2.27E+00
4.11E+01	3.79E+02	2.08E-09	2.24E+00
4.11E+01	3.79E+02	2.31E-09	2.21E+00
4.11E+01	3.79E+02	2.57E-09	2.18E+00
4.11E+01	3.79E+02	2.85E-09	2.15E+00
4.11E+01	3.79E+02	3.16E-09	2.11E+00
4.11E+01	3.79E+02	3.51E-09	2.07E+00
4.11E+01	3.79E+02	3.90E-09	2.03E+00
4.11E+01	3.79E+02	4.33E-09	1.98E+00
4.11E+01	3.79E+02	4.81E-09	1.93E+00
4.11E+01	3.79E+02	5.34E-09	1.88E+00
4.11E+01	3.79E+02	5.93E-09	1.82E+00
4.11E+01	3.79E+02	6.58E-09	1.76E+00
4.11E+01	3.79E+02	7.31E-09	1.70E+00
4.11E+01	3.79E+02	8.11E-09	1.63E+00
4.11E+01	3.79E+02	9.01E-09	1.56E+00
4.11E+01	3.79E+02	1.00E-08	1.49E+00
4.11E+01	3.79E+02	1.11E-08	1.42E+00
4.11E+01	3.79E+02	1.23E-08	1.35E+00
4.11E+01	3.79E+02	1.37E-08	1.28E+00
4.11E+01	3.79E+02	1.52E-08	1.20E+00
4.11E+01	3.79E+02	1.69E-08	1.13E+00
4.11E+01	3.79E+02	1.87E-08	1.06E+00
4.11E+01	3.79E+02	2.08E-08	9.85E-01
4.11E+01	3.79E+02	2.31E-08	9.14E-01
4.11E+01	3.79E+02	2.57E-08	8.46E-01
4.11E+01	3.79E+02	2.85E-08	7.79E-01
4.11E+01	3.79E+02	3.16E-08	7.15E-01
4.11E+01	3.79E+02	3.51E-08	6.54E-01
4.11E+01	3.79E+02	3.90E-08	5.95E-01
4.11E+01	3.79E+02	4.33E-08	5.40E-01
4.11E+01	3.79E+02	4.81E-08	4.88E-01
4.11E+01	3.79E+02	5.34E-08	4.39E-01
4.11E+01	3.79E+02	5.93E-08	3.94E-01
4.11E+01	3.79E+02	6.58E-08	3.51E-01
4.11E+01	3.79E+02	7.31E-08	3.12E-01
4.11E+01	3.79E+02	8.11E-08	2.77E-01
4.11E+01	3.79E+02	9.01E-08	2.44E-01
4.11E+01	3.79E+02	1.00E-07	2.14E-01
4.11E+01	3.79E+02	1.11E-07	1.87E-01
4.11E+01	3.79E+02	1.23E-07	1.63E-01
4.11E+01	3.79E+02	1.37E-07	1.41E-01
4.11E+01	3.79E+02	1.52E-07	1.21E-01
4.11E+01	3.79E+02	1.69E-07	1.04E-01
4.11E+01	3.79E+02	1.87E-07	8.88E-02
4.11E+01	3.79E+02	2.08E-07	7.53E-02
4.11E+01	3.79E+02	2.31E-07	6.36E-02
4.11E+01	3.79E+02	2.57E-07	5.33E-02
4.11E+01	3.79E+02	2.85E-07	4.44E-02
4.11E+01	3.79E+02	3.16E-07	3.68E-02
4.11E+01	3.79E+02	3.51E-07	3.03E-02
4.11E+01	3.79E+02	3.90E-07	2.47E-02
4.11E+01	3.79E+02	4.33E-07	2.00E-02
4.11E+01	3.79E+02	4.81E-07	1.61E-02
4.11E+01	3.79E+02	5.34E-07	1.29E-02
4.11E+01	3.79E+02	5.93E-07	1.02E-02
4.11E+01	3.79E+02	6.58E-07	7.96E-03
4.11E+01	3.79E+02	7.31E-07	6.18E-03
4.11E+01	3.79E+02	8.11E-07	4.74E-03
4.11E+01	3.79E+02	9.01E-07	3.59E-03
4.11E+01	3.79E+02	1.00E-06	2.69E-03
4.11E+01	3.79E+02	1.11E-06	1.98E-03
4.11E+01	3.79E+02	1.23E-06	1.43E-03
4.11E+01	3.79E+02	1.37E-06	1.02E-03
4.11E+01	3.79E+02	1.52E-06	7.07E-04
4.11E+01	3.79E+02	1.69E-06	4.77E-04
4.11E+01	3.79E+02	1.87E-06	3.11E-04
4.11E+01	3.79E+02	2.08E-06	1.95E-04
4.11E+01	3.79E+02	2.31E-06	1.17E-04
4.11E+01	3.79E+02	2.57E-06	6.62E-05
4.11E+01	3.79E+02	2.85E-06	3.52E-05
4.11E+01	3.79E+02	3.16E-06	1.74E-05
4.11E+01	1.00E+03	1.00E-10	2.45E+00
4.11E+01	1.00E+03	1.11E-10	2.45E+00
4.11E+01	1.00E+03	1.23E-10	2.45E+00
4.11E+01	1.00E+03	1.37E-10	2.45E+00
4.11E+01	1.00E+03	1.52E-10	2.45E+00
4.11E+01	1.00E+03	1.69E-10	2.45E+00
4.11E+01	1.00E+03	1.87E-10	2.45E+00
4.11E+01	1.00E+03	2.08E-10	2.45E+00
4.11E+01	1.00E+03	2.31E-10	2.45E+00
4.11E+01	1.00E+03	2.57E-10	2.45E+00
4.11E+01	1.00E+03	2.85E-10	2.44E+00
4.11E+01	1.00E+03	3.16E-10	2.44E+00
4.11E+01	1.00E+03	3.51E-10	2.44E+00
4.11E+01	1.00E+03	3.90E-10	2.44E+00
4.11E+01	1.00E+03	4.33E-10	2.43E+00
4.11E+01	1.00E+03	4.81E-10	2.43E+00
4.11E+01	1.00E+03	5.34E-10	2.42E+00
4.11E+01	1.00E+03	5.93E-10	2.42E+00
4.11E+01	1.00E+03	6.58E-10	2.41E+00
4.11E+01	1.00E+03	7.31E-10	2.40E+00
4.11E+01	1.00E+03	8.11E-10	2.39E+00
4.11E+01	1.00E+03	9.01E-10	2.38E+00
4.11E+01	1.00E+03	1.00E-09	2.37E+00
4.11E+01	1.00E+03	1.11E-09	2.36E+00
4.11E+01	1.00E+03	1.23E-09	2.34E+00
4.11E+01	1.00E+03	1.37E-09	2.33E+00
4.11E+01	1.00E+03	1.52E-09	2.31E+00
4.11E+01	1.00E+03	1.69E-09	2.29E+00
4.11E+01	1.00E+03	1.87E-09	2.27E+00
4.11E+01	1.00E+03	2.08E-09	2.24E+00
4.11E+01	1.00E+03	2.31E-09	2.21E+00
4.11E+01	1.00E+03	2.57E-09	2.18E+00
4.11E+01	1.00E+03	2.85E-09	2.15E+00
4.11E+01	1.00E+03	3.16E-09	2.11E+00
4.11E+01	1.00E+03	3.51E-09	2.07E+00
4.11E+01	1.00E+03	3.90E-09	2.03E+00
4.11E+01	1.00E+03	4.33E-09	1.98E+00
4.11E+01	1.00E+03	4.81E-09	1.93E+00
4.11E+01	1.00E+03	5.34E-09	1.88E+00
4.11E+01	1.00E+03	5.93E-09	1.82E+00
4.11E+01	1.00E+03	6.58E-09	1.76E+00
4.11E+01	1.00E+03	7.31E-09	1.70E+00
4.11E+01	1.00E+03	8.11E-09	1.63E+00
4.11E+01	1.00E+03	9.01E-09	1.56E+00
4.11E+01	1.00E+03	1.00E-08	1.49E+00
4.11E+01	1.00E+03	1.11E-08	1.42E+00
4.11E+01	1.00E+03	1.23E-08	1.35E+00
4.11E+01	1.00E+03	1.37E-08	1.28E+00
4.11E+01	1.00E+03	1.52E-08	1.20E+00
4.11E+01	1.00E+03	1.69E-08	1.13E+00
4.11E+01	1.00E+03	1.87E-08	1.06E+00
4.11E+01	1.00E+03	2.08E-08	9.85E-01
4.11E+01	1.00E+03	2.31E-08	9.14E-01
4.11E+01	1.00E+03	2.57E-08	8.46E-01
4.11E+01	1.00E+03	2.85E-08	7.79E-01
4.11E+01	1.00E+03	3.16E-08	7.15E-01
4.11E+01	1.00E+03	3.51E-08	6.54E-01
4.11E+01	1.00E+03	3.90E-08	5.95E-01
4.11E+01	1.00E+03	4.33E-08	5.40E-01
4.11E+01	1.00E+03	4.81E-08	4.88E-01
4.11E+01	1.00E+03	5.34E-08	4.39E-01
4.11E+01	1.00E+03	5.93E-08	3.94E-01
4.11E+01	1.00E+03	6.58E-08	3.51E-01
4.11E+01	1.00E+03	7.31E-08	3.12E-01
4.11E+01	1.00E+03	8.11E-08	2.77E-01
4.11E+01	1.00E+03	9.01E-08	2.44E-01
4.11E+01	1.00E+03	1.00E-07	2.14E-01
4.11E+01	1.00E+03	1.11E-07	1.87E-01
4.11E+01	1.00E+03	1.23E-07	1.63E-01
4.11E+01	1.00E+03	1.37E-07	1.41E-01
4.11E+01	1.00E+03	1.52E-07	1.21E-01
4.11E+01	1.00E+03	1.69E-07	1.04E-01
4.11E+01	1.00E+03	1.87E-07	8.88E-02
4.11E+01	1.00E+03	2.08E-07	7.53E-02
4.11E+01	1.00E+03	2.31E-07	6.36E-02
4.11E+01	1.00E+03	2.57E-07	5.33E-02
4.11E+01	1.00E+03	2.85E-07	4.44E-02
4.11E+01	1.00E+03	3.16E-07	3.68E-02
4.11E+01	1.00E+03	3.51E-07	3.03E-02
4.11E+01	1.00E+03	3.90E-07	2.47E-02
4.11E+01	1.00E+03	4.33E-07	2.00E-02
4.11E+01	1.00E+03	4.81E-07	1.61E-02
4.11E+01	1.00E+03	5.34E-07	1.29E-02
4.11E+01	1.00E+03	5.93E-07	1.02E-02
4.11E+01	1.00E+03	6.58E-07	7.96E-03
4.11E+01	1.00E+03	7.31E-07	6.18E-03
4.11E+01	1.00E+03	8.11E-07	4.74E-03
4.11E+01	1.00E+03	9.01E-07	3.59E-03
4.11E+01	1.00E+03	1.00E-06	2.69E-03
4.11E+01	1.00E+03	1.11E-06	1.98E-03
4.11E+01	1.00E+03	1.23E-06	1.43E-03
4.11E+01	1.00E+03	1.37E-06	1.02E-03
4.11E+01	1.00E+03	1.52E-06	7.07E-04
4.11E+01	1.00E+03	1.69E-06	4.77E-04
4.11E+01	1.00E+03	1.87E-06	3.11E-04
4.11E+01	1.00E+03	2.08E-06	1.95E-04
4.11E+01	1.00E+03	2.31E-06	1.17E-04
4.11E+01	1.00E+03	2.57E-06	6.62E-05
4.11E+01	1.00E+03	2.85E-06	3.52E-05
4.11E+01	1.00E+03	3.16E-06	1.74E-05
4.53E+01	1.00E-05	1.00E-10	3.19E+00
4.53E+01	1.00E-05	1.11E-10	3.19E+00
4.53E+01	1.00E-05	1.23E-10	3.19E+00
4.53E+01	1.00E-05	1.37E-10	3.18E+00
4.53E+01	1.00E-05	1.52E-10	3.18E+00
4.53E+01	1.00E-05	1.69E-10	3.18E+00
4.53E+01	1.00E-05	1.87E-10	3.18E+00
4.53E+01	1.00E-05	2.08E-10	3.18E+00
4.53E+01	1.00E-05	2.31E-10	3.18E+00
4.53E+01	1.00E-05	2.57E-10	3.18E+00
4.53E+01	1.00E-05	2.85E-10	3.18E+00
4.53E+01	1.00E-05	3.16E-10	3.17E+00
4.53E+01	1.00E-05	3.51E-10	3.17E+00
4.53E+01	1.00E-05	3.90E-10	3.17E+00
4.53E+01	1.00E-05	4.33E-10	3.16E+00
4.53E+01	1.00E-05	4.81E-10	3.16E+00
4.53E+01	1.00E-05	5.34E-10	3.15E+00
4.53E+01	1.00E-05	5.93E-10	3.15E+00
4.53E+01	1.00E-05	6.58E-10	3.14E+00
4.53E+01	1.00E-05	7.31E-10	3.13E+00
4.53E+01	1.00E-05	8.11E-10	3.13E+00
4.53E+01	1.00E-05	9.01E-10	3.12E+00
4.53E+01	1.00E-05	1.00E-09	3.10E+00
4.53E+01	1.00E-05	1.11E-09	3.09E+00
4.53E+01	1.00E-05	1.23E-09	3.08E+00
4.53E+01	1.00E-05	1.37E-09	3.06E+00
4.53E+01	1.00E-05	1.52E-09	3.04E+00
4.53E+01	1.00E-05	1.69E-09	3.02E+00
4.53E+01	1.00E-05	1.87E-09	3.00E+00
4.53E+01	1.00E-05	2.08E-09	2.97E+00
4.53E+01	1.00E-05	2.31E-09	2.95E+00
4.53E+01	1.00E-05	2.57E-09	2.92E+00
4.53E+01	1.00E-05	2.85E-09	2.88E+00
4.53E+01	1.00E-05	3.16E-09	2.85E+00
4.53E+01	1.00E-05	3.51E-09	2.81E+00
4.53E+01	1.00E-05	3.90E-09	2.76E+00
4.53E+01	1.00E-05	4.33E-09	2.72E+00
4.53E+01	1.00E-05	4.81E-09	2.67E+00
4.53E+01	1.00E-05	5.34E-09	2.61E+00
4.53E+01	1.00E-05	5.93E-09	2.56E+00
4.53E+01	1.00E-05	6.58E-09	2.50E+00
4.53E+01	1.00E-05	7.31E-09	2.43E+00
4.53E+01	1.00E-05	8.11E-09	2.37E+00
4.53E+01	1.00E-05	9.01E-09	2.30E+00
4.53E+01	1.00E-05	1.00E-08	2.23E+00
4.53E+01	1.00E-05	1.11E-08	2.16E+00
4.53E+01	1.00E-05	1.23E-08	2.09E+00
4.53E+01	1.00E-05	1.37E-08	2.01E+00
4.53E+01	1.00E-05	1.52E-08	1.94E+00
4.53E+01	1.00E-05	1.69E-08	1.86E+00
4.53E+01	1.00E-05	1.87E-08	1.78E+00
4.53E+01	1.00E-05	2.08E-08	1.71E+00
4.53E+01	1.00E-05	2.31E-08	1.63E+00
4.53E+01	1.00E-05	2.57E-08	1.56E+00
4.53E+01	1.00E-05	2.85E-08	1.48E+00
4.53E+01	1.00E-05	3.16E-08	1.41E+00
4.53E+01	1.00E-05	3.51E-08	1.34E+00
4.53E+01	1.00E-05	3.90E-08	1.26E+00
4.53E+01	1.00E-05	4.33E-08	1.19E+00
